model,MAE,RMSE,R2
Mean baseline,7139.810225141435,7926.5911172427395,-0.021804552936962818
Ridge regression,414.30112698744597,669.2804293776088,0.9927153083634448
Random forest,236.0074260724855,508.36468748568393,0.9957971327570743
